date	close
27-Aug-15	138
28-Aug-15	116
9-Sep-15	102
12-Sep-15	92
13-Sep-15	87
15-Sep-15	80
26-Sep-15	79.3
28-Sep-15	66.6
20-Oct-15	64.3
31-Oct-15	57.4
1-Nov-15	55.8
5-Nov-15	53.2
